name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"India, karnataka",2023-01-01,84.1,60.7,71.6,83.3,60.7,71.5,57.6,65.2,0,0,0,,0,0,16.3,9.1,68.4,1020.1,18,4.2,242,20.7,9,10,2023-01-01T06:41:46,2023-01-01T18:04:20,0.3,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-02,80.9,60.8,70,80.2,60.8,69.9,57,67.8,0,0,0,,0,0,20.8,10.2,90.7,1020,18.7,3.8,248.1,21.5,9,10,2023-01-02T06:42:09,2023-01-02T18:04:54,0.34,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-03,78.7,60.8,69.2,78.7,60.8,69.2,59.6,74,0,0,0,,0,0,20.1,9.2,95.4,1020.2,38.6,3.6,237,20.7,9,10,2023-01-03T06:42:31,2023-01-03T18:05:27,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-04,78.7,62.6,69.3,78.7,62.6,69.3,60,75.1,0,0,0,rain,0,0,20.6,11.2,99.6,1019,47.9,3.2,245.9,21.2,9,10,2023-01-04T06:42:53,2023-01-04T18:06:01,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-05,75.3,60.8,68.2,75.3,60.8,68.2,60.7,78.3,0,0,0,,0,0,23.3,13.8,89.8,1019.6,53.8,3.2,198.6,17,8,10,2023-01-05T06:43:13,2023-01-05T18:06:35,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-06,78.7,59,68.7,78.7,59,68.7,60.4,77.5,0,0,0,,0,0,24.2,15,83,1020.9,52.8,3.3,232.2,19.9,9,10,2023-01-06T06:43:32,2023-01-06T18:07:09,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-07,77,60.8,69,77,60.8,69,60.6,76.8,0,0,0,,0,0,25.3,11.3,77,1020.3,60.8,3.1,172.5,15.1,8,10,2023-01-07T06:43:51,2023-01-07T18:07:43,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-08,78.9,62.5,69.5,78.9,62.5,69.5,59.6,73.6,0,0,0,,0,0,18.6,7.1,60.9,1019.1,54.1,3,232.2,19.9,8,10,2023-01-08T06:44:09,2023-01-08T18:08:17,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-09,80.4,56.3,67.4,80,56.3,67.3,50.4,60.7,0,0,0,,0,0,17.7,8,85.4,1019.7,29.9,3.2,257.1,22.2,9,10,2023-01-09T06:44:25,2023-01-09T18:08:51,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-10,80.7,54.5,67,79.8,54.5,66.9,52.5,65.2,0,0,0,,0,0,21.7,10.2,81.8,1019.5,21.7,3.4,261.4,22.6,9,10,2023-01-10T06:44:41,2023-01-10T18:09:25,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-11,82.4,53.6,68.1,80.3,53.6,67.8,48.8,57.9,0,0,0,,0,0,17.9,9.2,96.1,1017.9,6.7,3.9,263.3,22.8,9,10,2023-01-11T06:44:56,2023-01-11T18:09:59,0.64,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-12,84.1,56.3,69.9,81.2,56.3,69.4,47.3,53,0,0,0,,0,0,18.1,7.9,88.9,1016.8,8.8,3.8,262.4,22.8,9,10,2023-01-12T06:45:10,2023-01-12T18:10:33,0.68,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-13,84.1,56.3,69.1,81.5,56.3,68.7,51,58.6,0,0,0,,0,0,13.9,9,87.6,1016.9,28.1,3.8,256.6,22.1,9,10,2023-01-13T06:45:22,2023-01-13T18:11:06,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-14,84.1,57.2,69.1,81.3,57.2,68.6,50.3,59.6,0,0,0,,0,0,15,7,81.2,1017,30.2,3.6,260.6,22.5,9,10,2023-01-14T06:45:34,2023-01-14T18:11:39,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-15,85.8,54.5,69.3,82.6,54.5,68.8,49.4,56.8,0,0,0,,0,0,14.1,8,85.7,1016.1,22.4,3.8,266.9,22.9,9,10,2023-01-15T06:45:45,2023-01-15T18:12:12,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-16,84.8,55.4,70.3,81.9,55.4,69.7,50.2,56.3,0,0,0,,0,0,13,10.3,83.6,1016.7,11.8,4,264,22.8,9,10,2023-01-16T06:45:54,2023-01-16T18:12:45,0.81,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-17,84.1,56.3,68.8,81.3,56.3,68.4,50.9,61.5,0,0,0,,0,0,13.9,9.2,102.9,1017.5,11.9,3.4,263.6,22.7,9,10,2023-01-17T06:46:03,2023-01-17T18:13:17,0.85,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-18,82.5,56.3,67.7,80.6,56.3,67.5,54,68.9,0,0,0,,0,0,15,9.1,92,1020.5,25.9,3.4,256.8,22.2,9,10,2023-01-18T06:46:10,2023-01-18T18:13:50,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-19,82.2,58.9,69.2,80.2,58.9,68.9,51.6,61.9,0,0,0,,0,0,16.3,10.1,86.5,1019.1,13.3,3.7,261.5,22.5,9,10,2023-01-19T06:46:17,2023-01-19T18:14:21,0.91,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-20,78.6,57.2,67.7,78.6,57.2,67.7,58.2,73.8,0,0,0,,0,0,18.8,11.3,95.7,1019.1,34.2,3.5,256.5,22.1,9,10,2023-01-20T06:46:22,2023-01-20T18:14:53,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-21,78.7,62.5,68.9,78.7,62.5,68.9,59.6,74.9,0,0,0,,0,0,19,10.1,93,1018,53.7,3,220.6,19,8,10,2023-01-21T06:46:26,2023-01-21T18:15:24,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-22,80.5,58.9,68.8,79.8,58.9,68.8,56.5,69.4,0,0,0,,0,0,21.3,11.3,90.1,1017.1,32.9,3.6,253.9,21.9,9,10,2023-01-22T06:46:29,2023-01-22T18:15:54,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-23,75,59,67.1,75,59,67.1,61,81.5,0,0,0,,0,0,19.7,10.2,91.6,1016.6,36.3,3.3,190.2,16.4,8,10,2023-01-23T06:46:31,2023-01-23T18:16:25,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-24,78.8,64.4,70.7,78.8,64.4,70.7,61.8,75.5,0,0,0,,0,0,18.1,9.2,104.3,1016.5,58,3.2,198.4,17.1,8,10,2023-01-24T06:46:32,2023-01-24T18:16:54,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-25,82.3,59.9,69.5,81.1,59.9,69.3,55.9,66.4,0,0,0,,0,0,16.3,10.2,97.1,1016.4,30.4,3.7,252.3,21.7,9,10,2023-01-25T06:46:32,2023-01-25T18:17:23,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-26,82.5,60.7,69.8,80.5,60.7,69.5,55,65.3,0,0,0,,0,0,15,9,105.8,1016.5,27.7,3.3,265.6,22.9,9,10,2023-01-26T06:46:31,2023-01-26T18:17:52,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-27,82.6,62.4,70.6,80.8,62.4,70.3,55.1,63.8,0,0,0,,0,0,16.3,9.2,99.9,1016.5,20.7,3.2,262.7,22.7,9,10,2023-01-27T06:46:28,2023-01-27T18:18:20,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-28,82.5,57.2,70,80.7,57.2,69.7,51.1,57.2,0,0,0,,0,0,19.9,12.6,83.4,1016,9.4,4,270.3,23.2,9,10,2023-01-28T06:46:25,2023-01-28T18:18:48,0.25,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-29,83.9,57.2,70.2,81.6,57.2,70,54.7,62.3,0,0,0,,0,0,24.2,13.9,81.5,1014.9,9.6,3.9,267.3,23,9,10,2023-01-29T06:46:20,2023-01-29T18:19:15,0.25,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"India, karnataka",2023-01-30,80.5,62.6,71.8,81.7,62.6,71.9,62.7,75.3,0.012,100,12.5,rain,0,0,15.7,11.6,80.9,1016.2,43.3,3.7,182.3,15.6,8,10,2023-01-30T06:46:14,2023-01-30T18:19:42,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
