name,latitude,longitude,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,pm2p5,pm10,aqius,aod550,aqielement,conditions,icon,stations
"Karnataka,India",12.9662,77.5869,2023-07-01,30.9,21.0,25.6,33.6,21.0,26.2,20.1,73.4,0.1,0,0.0,rain,0,0,43.6,25.7,258.3,1014.1,58.3,6.5,186.1,16.1,6,10.0,6.0,12.0,22.0,,"o3,pm2p5",Partially cloudy,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-02,28.9,22.0,24.3,31.2,22.0,24.8,20.4,79.3,17.919,100,4.17,rain,0,0,46.8,22.6,261.8,1013.5,78.1,5.4,167.3,14.6,6,10.0,7.0,13.0,29.0,,pm2p5,"Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-03,29.9,21.0,24.0,32.4,21.0,24.4,20.5,82.2,3.0,100,4.17,rain,0,0,49.0,24.2,263.3,1011.9,71.1,6.5,145.7,12.7,6,10.0,3.0,5.0,21.0,,"o3,pm2p5","Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-04,27.9,20.0,22.8,30.5,20.0,22.9,19.9,84.4,0.995,100,4.17,rain,0,0,65.2,26.0,241.9,1010.1,82.2,5.8,76.0,6.5,3,10.0,3.0,4.0,16.0,,"o3,pm2p5","Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-05,26.9,20.0,22.9,28.7,20.0,23.0,19.4,81.1,17.1,100,66.67,rain,0,0,64.4,29.4,246.5,1008.9,83.5,6.2,86.8,7.5,7,10.0,3.0,4.0,13.0,,"o3,pm2p5","Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-06,27.9,21.0,23.1,29.9,21.0,23.3,19.9,83.2,0.499,100,8.33,rain,0,0,56.9,30.0,242.9,1011.3,78.9,6.0,93.1,8.0,4,10.0,3.0,4.0,13.0,,"o3,pm2p5","Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-07,27.0,20.9,22.9,29.1,20.9,23.0,20.5,86.6,6.964,100,4.17,rain,0,0,58.0,26.0,243.7,1013.5,81.2,5.8,161.7,13.8,8,10.0,3.0,5.0,17.0,,o3,"Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-08,26.9,21.0,22.6,28.7,21.0,22.6,20.6,88.9,6.978,100,8.33,rain,0,0,45.4,21.4,241.2,1014.5,82.4,5.7,117.2,10.0,5,10.0,4.0,5.0,16.0,,"o3,pm2p5","Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-09,28.0,21.0,24.1,30.1,21.0,24.5,20.1,79.1,0.102,0,0.0,rain,0,0,42.5,22.3,245.9,1013.9,82.8,6.1,129.6,11.2,4,10.0,5.0,9.0,20.0,,"o3,pm2p5",Partially cloudy,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-10,27.9,21.6,23.6,31.7,21.6,24.0,21.3,87.6,9.956,100,8.33,rain,0,0,36.4,20.8,258.5,1013.5,89.0,5.3,140.9,12.1,6,10.0,8.0,15.0,28.0,,pm2p5,"Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-11,27.9,20.1,23.0,30.0,20.1,23.3,20.4,86.1,14.967,100,4.17,rain,0,0,37.8,24.1,259.3,1013.1,84.8,5.4,104.1,8.9,5,10.0,10.0,17.0,39.0,,pm2p5,"Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-12,28.9,20.9,23.8,31.8,20.9,24.2,20.6,83.3,11.936,100,8.33,rain,0,0,38.5,19.4,256.6,1012.5,73.9,6.9,205.7,17.7,7,10.0,10.0,19.0,40.0,,pm2p5,"Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-13,28.7,21.0,23.3,31.0,21.0,23.6,20.0,83.5,23.871,100,8.33,rain,0,0,42.8,18.5,248.7,1012.8,74.4,5.8,178.4,15.5,7,10.0,5.0,7.0,31.0,,pm2p5,"Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-14,28.9,20.4,23.4,31.1,20.4,23.8,20.1,82.7,0.995,100,4.17,rain,0,0,53.3,22.5,247.4,1014.0,66.6,6.6,187.2,16.1,7,10.0,4.0,6.0,19.0,,"o3,pm2p5","Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-15,29.9,20.7,24.3,33.1,20.7,25.1,20.4,79.8,2.016,100,4.17,rain,0,0,46.1,20.8,258.2,1014.1,69.1,7.2,197.3,17.1,7,10.0,6.0,10.0,19.0,,pm2p5,"Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-16,28.9,21.0,24.2,31.7,21.0,24.6,20.4,79.9,0.3,0,4.17,rain,0,0,41.0,21.4,252.3,1013.6,82.4,6.8,168.8,14.5,6,10.0,7.0,14.0,28.0,,pm2p5,Partially cloudy,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-17,28.0,21.0,24.1,30.0,21.0,24.4,19.9,78.3,0.199,0,4.17,rain,0,0,49.7,24.0,250.6,1012.8,82.5,5.4,173.8,15.0,6,10.0,6.0,13.0,28.0,,pm2p5,Partially cloudy,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-18,29.9,21.0,24.4,32.3,21.0,24.8,19.4,75.1,0.4,100,4.17,rain,0,0,55.1,29.6,247.4,1011.8,65.1,7.1,171.7,14.9,8,0.0,4.0,8.0,23.0,,pm2p5,"Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-19,27.1,21.0,23.7,28.5,21.0,23.9,19.3,77.2,1.2,0,8.33,rain,0,0,61.2,33.3,252.8,1010.4,82.6,7.1,153.1,13.2,6,10.0,4.0,7.0,17.0,,pm2p5,Partially cloudy,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-20,28.1,21.0,24.2,29.9,21.0,24.4,19.1,74.4,1.3,100,16.67,rain,0,0,75.2,37.2,249.2,1010.2,70.3,7.0,169.4,14.8,7,10.0,4.0,9.0,17.0,,"o3,pm2p5","Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-21,28.9,21.9,24.2,30.6,21.9,24.5,19.7,77.1,0.001,0,0.0,rain,0,0,65.2,33.4,253.0,1011.2,71.0,6.7,208.8,17.9,7,10.0,4.0,9.0,18.0,,"o3,pm2p5",Partially cloudy,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-22,27.9,21.0,23.5,30.4,21.0,23.9,20.1,81.5,0.202,0,4.17,rain,0,0,76.3,27.5,250.8,1012.7,87.6,6.1,178.4,15.4,7,10.0,3.0,5.0,17.0,,"o3,pm2p5",Partially cloudy,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-23,28.8,21.0,22.9,31.1,21.0,23.1,20.5,87.3,4.006,100,8.33,rain,0,0,72.0,29.4,255.6,1013.1,87.8,6.3,118.2,10.1,6,10.0,3.0,4.0,14.0,,"o3,pm2p5","Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-24,26.9,20.0,21.8,29.4,20.0,21.9,20.3,91.7,7.978,100,12.5,rain,0,0,60.1,27.6,249.0,1012.5,91.3,5.4,87.5,7.7,5,10.0,3.0,6.0,15.0,,"o3,pm2p5","Rain, Overcast",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-25,25.9,20.0,21.8,25.9,20.0,21.8,20.3,91.3,11.939,100,8.33,rain,0,0,47.9,24.1,259.4,1012.9,91.5,4.7,68.3,5.9,3,10.0,4.0,5.0,16.0,,pm2p5,"Rain, Overcast",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-26,24.9,20.0,21.6,24.9,20.0,21.6,20.3,92.4,4.066,100,4.17,rain,0,0,45.4,26.0,254.8,1013.6,89.4,4.8,61.3,5.4,3,10.0,3.0,4.0,14.0,,pm2p5,"Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-27,29.0,19.0,23.0,30.4,19.0,23.3,19.6,82.3,3.005,100,4.17,rain,0,0,57.6,26.3,255.5,1013.9,86.6,6.0,130.3,11.2,5,10.0,4.0,6.0,15.0,,"o3,pm2p5","Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"Karnataka,India",12.9662,77.5869,2023-07-28,30.8,19.0,23.7,33.5,19.0,24.3,19.9,80.6,0.996,100,4.17,rain,0,0,57.6,24.5,258.4,1013.9,70.2,6.3,198.3,17.2,7,10.0,4.0,6.0,18.0,,"o3,pm2p5","Rain, Partially cloudy",rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
